Link,Name,Cuisine,Price_4_two,Rating
https://www.swiggy.com/restaurants/south-spicy-bites-xpress-3rd-stage-basaveshwara-nagar-bangalore-281155,South Spicy Bites Xpress,"Biryani, Coastal, Mangalorean, Seafood, Chinese, South Indian",299,4
https://www.swiggy.com/restaurants/al-bek-sampige-road-malleshwaram-bangalore-252332,Al-Bek,"Arabian, Tandoor, Biryani",500,4.2
https://www.swiggy.com/restaurants/nizaams-kaati-rolls-domlur-indiranagar-bangalore-671051,Nizaams Kaati Rolls,"Fast Food, Kebabs",400,4.7
https://www.swiggy.com/restaurants/spice-n-rice-lakkasandra-wilson-garden-bangalore-611637,Spice N Rice,"Biryani, Chinese, Fast Food",250,
https://www.swiggy.com/restaurants/five-star-chicken-jumma-masjid-oph-road-shivajinagar-bangalore-593433,Five Star Chicken,"Fast Food, American, Snacks",400,3.8
https://www.swiggy.com/restaurants/ka01-richmond-town-bangalore-353366,KA01,North Indian,400,
https://www.swiggy.com/restaurants/kabab-magic-shoolay-circle-richmond-town-bangalore-16392,Kabab Magic,"North Indian, Chinese",400,3.7
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-5th-cross-wilson-garden-bangalore-317934,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",200,4.6
https://www.swiggy.com/restaurants/dal-chawal-roti-sabji-lakshmi-road-shanti-nagar-bangalore-389317,Dal Chawal Roti Sabji,"Thalis, North Indian",200,4.1
https://www.swiggy.com/restaurants/sharief-bhai-frazer-town-bangalore-63048,Sharief Bhai,"Mughlai, Biryani, Arabian, Kebabs, Beverages, Desserts",400,4.2
https://www.swiggy.com/restaurants/corner-house-ice-cream-residency-road-ashok-nagar-bangalore-5247,Corner House Ice Cream,"Ice Cream, Desserts",250,4.7
https://www.swiggy.com/restaurants/donne-biryani-adda-appareddy-palya-indiranagar-bangalore-170539,Donne Biryani Adda,"Biryani, South Indian, Desserts, Beverages",200,3.1
https://www.swiggy.com/restaurants/chickpet-donne-biriyani-house-7th-block-koramangala-bangalore-251194,Chickpet donne biriyani house,Biryani,250,4
https://www.swiggy.com/restaurants/sri-udupi-park-galaxy-mall-residency-road-bangalore-4046,Sri Udupi Park,"North Indian, South Indian, Chinese, Chaat, Beverages",200,4.4
https://www.swiggy.com/restaurants/siddique-kabab-centre-frazer-town-bangalore-380655,Siddique kabab centre,"Chinese, Arabian, Tandoor",200,4.1
